start_time(s),end_time(s),label
426.47,426.638,NoGesture
426.638,428.74,Gesture
428.74,429.058,NoGesture
429.058,431.208,Gesture
431.208,431.788,NoGesture
431.788,434.158,Gesture
434.158,434.92,NoGesture
434.92,436.44,Gesture
436.44,438.498,NoGesture
438.498,440.42,Gesture
440.42,441.54,NoGesture
441.54,442.91,Gesture
442.91,475.71,NoGesture
475.71,477.04,Gesture
477.04,479.72,NoGesture
479.72,492.81,Gesture
492.81,496.15,NoGesture
496.15,499.08,Gesture
499.08,500.03,NoGesture
500.03,501.82,Gesture
501.82,503.4,NoGesture
503.4,506.86,Gesture
506.86,512.85,NoGesture
512.85,516.09,Gesture
516.09,516.38,NoGesture
516.38,517.95,Gesture
517.95,533.65,NoGesture
533.65,536.63,Gesture
536.63,537.1,NoGesture
537.1,547.21,Gesture
547.21,548.16,NoGesture
548.16,550.24,Gesture
550.24,551.03,NoGesture
551.03,554.93,Gesture
554.93,556.47,NoGesture
556.47,558.99,Gesture
558.99,562.92,NoGesture
562.92,565.75,Gesture
565.75,566.033,NoGesture
566.033,567.62,Gesture
567.62,573.586,NoGesture
573.586,576.113,Gesture
576.113,599.33,NoGesture
599.33,603.69,Gesture
603.69,618.73,NoGesture
618.73,620.41,Gesture
620.41,621.59,NoGesture
621.59,624.38,Gesture
624.38,624.65,NoGesture
624.65,627.92,Gesture
627.92,629.43,NoGesture
629.43,637.66,Gesture
637.66,637.76,NoGesture
637.76,646.25,Gesture
646.25,647.59,NoGesture
647.59,650.96,Gesture
650.96,651.46,NoGesture
651.46,657.08,Gesture
657.08,662.366,NoGesture
662.366,663.573,Gesture
663.573,670.1,NoGesture
670.1,672.91,Gesture
672.91,673.16,NoGesture
673.16,674.41,Gesture
674.41,674.63,NoGesture
674.63,676.75,Gesture
676.75,677.69,NoGesture
677.69,678.65,Gesture
678.65,680.18,NoGesture
680.18,681.89,Gesture
681.89,682.15,NoGesture
682.15,682.92,Gesture
682.92,683.48,NoGesture
683.48,685.12,Gesture
685.12,695.11,NoGesture
695.11,699.78,Gesture
699.78,707.09,NoGesture
707.09,708.81,Gesture
708.81,744.45,NoGesture
744.45,749.42,Gesture
749.42,755.12,NoGesture
755.12,756.89,Gesture
756.89,764.77,NoGesture
764.77,766.89,Gesture
766.89,782.77,NoGesture
782.77,783.86,Gesture
783.86,785.07,NoGesture
785.07,788.85,Gesture
788.85,789.51,NoGesture
789.51,790.71,Gesture
790.71,802.93,NoGesture
802.93,804.69,Gesture
804.69,805.37,NoGesture
805.37,809.1,Gesture
809.1,812.05,NoGesture
812.05,813.22,Gesture
813.22,814.39,NoGesture
814.39,817.94,Gesture
817.94,819.7,NoGesture
819.7,822.61,Gesture
822.61,824.593,NoGesture
824.593,826.09,Gesture
826.09,830.74,NoGesture
830.74,832.78,Gesture
832.78,836.49,NoGesture
836.49,842.02,Gesture
842.02,843.82,NoGesture
843.82,844.86,Gesture
844.86,847.05,NoGesture
847.05,849.07,Gesture
849.07,849.41,NoGesture
849.41,851.08,Gesture
851.08,861.8,NoGesture
861.8,863.15,Gesture
863.15,863.55,NoGesture
863.55,868.04,Gesture
868.04,869.32,NoGesture
869.32,870.39,Gesture
870.39,872.01,NoGesture
872.01,873.29,Gesture
873.29,873.38,NoGesture
873.38,877.91,Gesture
877.91,878.43,NoGesture
878.43,880.47,Gesture
880.47,887.107,NoGesture
887.107,895.867,Gesture
895.867,913.88,NoGesture
