time,has_motion,NoGesture_confidence,Gesture_confidence,Move_confidence,label
2.84375,0,0,0,0,Gesture
2.875,0,0,0,0,Gesture
2.90625,0,0,0,0,Gesture
2.9375,0,0,0,0,Gesture
2.96875,0,0,0,0,Gesture
3.0,0,0,0,0,Gesture
3.03125,0,0,0,0,Gesture
3.0625,0,0,0,0,Gesture
3.09375,0,0,0,0,Gesture
3.125,0,0,0,0,Gesture
3.15625,0,0,0,0,Gesture
3.1875,0,0,0,0,Gesture
3.21875,0,0,0,0,Gesture
3.25,0,0,0,0,Gesture
3.28125,0,0,0,0,Gesture
3.3125,0,0,0,0,Gesture
3.34375,0,0,0,0,Gesture
3.375,0,0,0,0,Gesture
3.40625,0,0,0,0,Gesture
3.4375,0,0,0,0,Gesture
3.46875,0,0,0,0,Gesture
3.5,0,0,0,0,Gesture
3.53125,0,0,0,0,Gesture
3.5625,0,0,0,0,Gesture
3.59375,0,0,0,0,Gesture
3.625,0,0,0,0,Gesture
3.65625,0,0,0,0,Gesture
3.6875,0,0,0,0,Gesture
3.71875,0,0,0,0,Gesture
3.75,0,0,0,0,Gesture
3.78125,0,0,0,0,Gesture
3.8125,0,0,0,0,Gesture
3.84375,0,0,0,0,Gesture
3.875,0,0,0,0,Gesture
3.90625,0,0,0,0,Gesture
3.9375,0,0,0,0,Gesture
3.96875,0,0,0,0,Gesture
4.0,0,0,0,0,Gesture
4.03125,0,0,0,0,Gesture
4.0625,0,0,0,0,Gesture
4.09375,0,0,0,0,Gesture
4.125,0,0,0,0,Gesture
4.15625,0,0,0,0,Gesture
4.1875,0,0,0,0,Gesture
4.21875,0,0,0,0,Gesture
4.25,0,0,0,0,Gesture
4.28125,0,0,0,0,Gesture
4.3125,0,0,0,0,Gesture
4.34375,0,0,0,0,Gesture
4.375,0,0,0,0,Gesture
4.40625,0,0,0,0,Gesture
4.4375,0,0,0,0,Gesture
4.46875,0,0,0,0,Gesture
4.5,0,0,0,0,Gesture
4.53125,0,0,0,0,Gesture
4.5625,0,0,0,0,Gesture
4.59375,0,0,0,0,Gesture
4.625,0,0,0,0,Gesture
4.65625,0,0,0,0,Gesture
4.6875,0,0,0,0,Gesture
4.71875,0,0,0,0,Gesture
4.75,0,0,0,0,Gesture
4.78125,0,0,0,0,Gesture
4.8125,0,0,0,0,Gesture
4.84375,0,0,0,0,Gesture
4.875,0,0,0,0,Gesture
4.90625,0,0,0,0,Gesture
4.9375,0,0,0,0,Gesture
4.96875,0,0,0,0,Gesture
5.0,0,0,0,0,Gesture
5.03125,0,0,0,0,Gesture
5.0625,0,0,0,0,Gesture
5.09375,0,0,0,0,Gesture
5.125,0,0,0,0,Gesture
5.15625,0,0,0,0,Gesture
5.1875,0,0,0,0,Gesture
5.21875,0,0,0,0,Gesture
5.25,0,0,0,0,Gesture
5.28125,0,0,0,0,Gesture
5.3125,0,0,0,0,Gesture
5.34375,0,0,0,0,Gesture
5.375,0,0,0,0,Gesture
5.40625,0,0,0,0,Gesture
5.4375,0,0,0,0,Gesture
5.46875,0,0,0,0,Gesture
5.5,0,0,0,0,Gesture
5.53125,0,0,0,0,Gesture
5.5625,0,0,0,0,Gesture
5.59375,0,0,0,0,Gesture
5.625,0,0,0,0,Gesture
5.65625,0,0,0,0,Gesture
5.6875,0,0,0,0,Gesture
5.71875,0,0,0,0,Gesture
5.75,0,0,0,0,Gesture
5.78125,0,0,0,0,Gesture
5.8125,0,0,0,0,Gesture
5.84375,0,0,0,0,Gesture
5.875,0,0,0,0,Gesture
5.90625,0,0,0,0,Gesture
5.9375,0,0,0,0,Gesture
5.96875,0,0,0,0,Gesture
6.0,0,0,0,0,Gesture
6.03125,0,0,0,0,Gesture
6.0625,0,0,0,0,Gesture
6.09375,0,0,0,0,Gesture
6.125,0,0,0,0,Gesture
6.15625,0,0,0,0,Gesture
6.1875,0,0,0,0,Gesture
6.21875,0,0,0,0,Gesture
6.25,0,0,0,0,Gesture
6.28125,0,0,0,0,Gesture
6.3125,0,0,0,0,Gesture
6.34375,0,0,0,0,Gesture
6.375,0,0,0,0,Gesture
6.40625,0,0,0,0,Gesture
6.4375,0,0,0,0,Gesture
6.46875,0,0,0,0,Gesture
6.5,0,0,0,0,Gesture
6.53125,0,0,0,0,Gesture
6.5625,0,0,0,0,Gesture
6.59375,0,0,0,0,Gesture
6.625,0,0,0,0,Gesture
6.65625,0,0,0,0,Gesture
6.6875,0,0,0,0,Gesture
6.71875,0,0,0,0,Gesture
6.75,0,0,0,0,Gesture
6.78125,0,0,0,0,Gesture
6.8125,0,0,0,0,Gesture
6.84375,0,0,0,0,Gesture
6.875,0,0,0,0,Gesture
6.90625,0,0,0,0,Gesture
6.9375,0,0,0,0,Gesture
6.96875,0,0,0,0,Gesture
7.0,0,0,0,0,Gesture
7.03125,0,0,0,0,Gesture
7.0625,0,0,0,0,Gesture
7.09375,0,0,0,0,Gesture
7.125,0,0,0,0,Gesture
7.15625,0,0,0,0,Gesture
7.1875,0,0,0,0,Gesture
7.21875,0,0,0,0,Gesture
7.25,0,0,0,0,Gesture
7.28125,0,0,0,0,Gesture
7.3125,0,0,0,0,Gesture
7.34375,0,0,0,0,Gesture
7.375,0,0,0,0,Gesture
7.40625,0,0,0,0,Gesture
7.4375,0,0,0,0,Gesture
7.46875,0,0,0,0,Gesture
7.5,0,0,0,0,Gesture
7.53125,0,0,0,0,Gesture
7.5625,0,0,0,0,Gesture
7.59375,0,0,0,0,Gesture
7.625,0,0,0,0,Gesture
7.65625,0,0,0,0,Gesture
7.6875,0,0,0,0,Gesture
7.71875,0,0,0,0,Gesture
7.75,0,0,0,0,Gesture
7.78125,0,0,0,0,Gesture
7.8125,0,0,0,0,Gesture
7.84375,0,0,0,0,Gesture
7.875,0,0,0,0,Gesture
7.90625,0,0,0,0,Gesture
7.9375,0,0,0,0,Gesture
7.96875,0,0,0,0,Gesture
8.0,0,0,0,0,Gesture
8.03125,0,0,0,0,Gesture
8.0625,0,0,0,0,Gesture
8.09375,0,0,0,0,Gesture
8.125,0,0,0,0,Gesture
8.15625,0,0,0,0,Gesture
8.1875,0,0,0,0,Gesture
8.21875,0,0,0,0,Gesture
8.25,0,0,0,0,Gesture
8.28125,0,0,0,0,Gesture
8.3125,0,0,0,0,Gesture
8.34375,0,0,0,0,Gesture
8.375,0,0,0,0,Gesture
8.40625,0,0,0,0,Gesture
8.4375,0,0,0,0,Gesture
8.46875,0,0,0,0,Gesture
8.5,0,0,0,0,Gesture
8.53125,0,0,0,0,Gesture
8.5625,0,0,0,0,Gesture
8.59375,0,0,0,0,Gesture
8.625,0,0,0,0,Gesture
8.65625,0,0,0,0,Gesture
8.6875,0,0,0,0,Gesture
8.71875,0,0,0,0,Gesture
8.75,0,0,0,0,Gesture
8.78125,0,0,0,0,Gesture
8.8125,0,0,0,0,Gesture
8.84375,0,0,0,0,Gesture
8.875,0,0,0,0,Gesture
8.90625,0,0,0,0,Gesture
8.9375,0,0,0,0,Gesture
8.96875,0,0,0,0,Gesture
9.0,0,0,0,0,Gesture
9.03125,0,0,0,0,Gesture
9.0625,0,0,0,0,Gesture
9.09375,0,0,0,0,Gesture
9.125,0,0,0,0,Gesture
9.15625,0,0,0,0,Gesture
9.1875,0,0,0,0,Gesture
9.21875,0,0,0,0,Gesture
9.25,0,0,0,0,Gesture
9.28125,0,0,0,0,Gesture
9.3125,0,0,0,0,Gesture
9.34375,0,0,0,0,Gesture
9.375,0,0,0,0,Gesture
9.40625,0,0,0,0,Gesture
9.4375,0,0,0,0,Gesture
9.46875,0,0,0,0,Gesture
9.5,0,0,0,0,Gesture
9.53125,0,0,0,0,Gesture
9.5625,0,0,0,0,Gesture
9.59375,0,0,0,0,NoGesture
9.625,0,0,0,0,NoGesture
9.65625,0,0,0,0,NoGesture
9.6875,0,0,0,0,NoGesture
9.71875,0,0,0,0,NoGesture
9.75,0,0,0,0,NoGesture
9.78125,0,0,0,0,Gesture
9.8125,0,0,0,0,Gesture
9.84375,0,0,0,0,Gesture
9.875,0,0,0,0,Gesture
9.90625,0,0,0,0,Gesture
9.9375,0,0,0,0,Gesture
9.96875,0,0,0,0,Gesture
